em,rm,TANF,SNAP,SSI,error
0.01,0.01,544,296,598,0.7514943570878868
0.01,0.025,562,285,595,0.7439359028927875
0.01,0.05,549,283,596,0.7485106220496639
0.01,0.1,542,285,598,0.7523047157231225
0.01,0.25,540,293,601,0.7555449574647063
0.025,0.01,1261,803,595,0.5650845188605
0.025,0.025,1273,750,586,0.5609919008695073
0.025,0.05,1258,750,608,0.5780101999883508
0.025,0.1,1278,739,598,0.5741526822938464
0.025,0.25,1257,742,606,0.5760049214627312
0.05,0.01,2061,1656,585,0.7546664264615545
0.05,0.025,2042,1588,562,0.7289772117967673
0.05,0.05,2008,1531,583,0.7411781599168733
0.05,0.1,2067,1539,614,0.7869534759578607
0.05,0.25,2063,1520,641,0.8122446429655605
0.1,0.01,2320,3356,587,0.7872052571649139
0.1,0.025,2319,3262,643,0.8429613561114137
0.1,0.05,2289,3190,603,0.7980190070521177
0.1,0.1,2315,3121,645,0.8471392204105611
0.1,0.25,2293,3078,668,0.8642205550908894
0.25,0.01,2342,7828,600,0.6993515033236486
0.25,0.025,2324,7798,590,0.6855207068483296
0.25,0.05,2316,7731,608,0.7022107439277088
0.25,0.1,2308,7550,667,0.7609977551835986
0.25,0.25,2342,7321,644,0.7536787840228594
